Date,IBM.N,MSFT.O,SPG.N,PSA.N,AVB.N,EQR.N,WELL.N,WY.N,VTR.N,O.N,ESS.N,JBHT.O,ALK.N,CSX.O,LUV.N,FDX.N,ESV.N,HP.N,NE.N,OII.N,BCS.N,BAC.N,JPM.N,WFC.N,C.N,USB.N,BBT.N,BBY.N,HD.N,LOW.N,CVS.N,TJX.N,COST.O,TXN.O,MU.O,INTC.O,ADI.O,QCOM.O,AMAT.O,AEP.N,AES.N,ARTNA.O,ATO.N,AVA.N,AWR.N,BKH.N,CDZI.O,XOM.N,CVX.N,COP.N,EOG.N,OXY.N,SLB.N,HAL.N,APC.N,AXP.N,PNC.N,CB.N,SCHW.N,MS.N,AIG.N,SPGI.N,COF.N,PGR.N,MMC.N,AON.N,AFL.N,TRV.N,ALL.N,STT.N,STI.N,TROW.O,MTB.N,KEY.N,RF.N,FITB.O,DE.N,DHR.N,DOV.N,EFX.N,EMR.N,ETN.N,FLS.N,GD.N,GE.N,GWW.N,HON.N,IR.N,ITW.N,JCI.N,ORCL.N,ADBE.O,ADP.O,INTU.O,MU.O,HPQ.N,FISV.O,ADI.O,ADSK.O,TSS.N,AMD.O,PAYX.O,LRCX.O,MSI.N,XLNX.O,CA.O,HD.N,MCD.N,NKE.N,LOW.N,SBUX.O,TJX.N,TGT.N,ROST.O,F.N,VFC.N,CCL.N,RCL.N,AZO.N,DHI.N,TIF.N,LEN.N,KSS.N,HAS.O,TSCO.O,PVH.N,PG.N,KO.N,PEP.O,WMT.N,MO.N,SYY.N,ABMD.O,ABT.N,AGN.N,AMGN.O,BAX.N,BDX.N,BIIB.O,BMY.N,BSX.N,CAH.N,CELG.O
1995-01-03,12.5664,2.4853,7.7486,5.7095,6.8033,3.8993,3.5702,2.8010,8.6670,12.4388,5.3957,3.1233,3.4821,3.6322,3.2234,13.7613,9.0978,4.4013,2.2771,2.2606,4.4971,6.0796,6.1103,3.1052,37.3137,2.0894,4.3920,2.5252,6.8883,3.3527,5.8676,0.6981,4.7026,3.3378,10.8799,2.6332,3.8943,1.1241,1.9749,10.2827,3.4097,2.2759,6.2312,5.3037,2.4655,5.2454,125.0000,8.0063,3.4878,9.8222,4.1608,4.3795,8.7978,5.8944,8.2717,7.0457,10.4358,14.9301,1.2849,5.8110,262.6480,5.0327,4.2256,1.8630,7.1107,9.0517,1.7986,11.7862,7.2520,5.3638,13.9809,2.2373,8.2900,5.8672,10.5312,5.4169,6.6718,2.2873,5.7556,10.2794,7.9951,6.4809,4.4086,6.6848,4.3447,18.9506,10.0791,5.6668,7.0571,7.9388,1.8909,0.8637,16.9171,5.1642,10.8799,3.8749,1.6296,3.8943,8.7049,4.2619,12.5000,1.9750,11.4180,98.7436,3.4466,10.3510,6.8883,8.8849,1.6778,3.3527,0.7304,0.6981,3.9070,0.5301,13.2504,3.4040,6.2044,9.5082,23.7500,1.1498,3.6393,6.0729,3.8355,8.0416,1.1608,13.5213,8.8003,7.4679,10.7326,7.1922,6.2467,3.7468,2.5000,4.5163,12.5457,6.2544,4.8279,8.4786,0.3958,6.4998,4.1875,10.2652,0.2214
1995-01-04,12.6729,2.5034,7.7486,5.7600,6.8459,3.8993,3.7040,2.7379,8.9440,12.1624,5.4800,3.2233,3.4241,3.6771,3.2920,13.7328,9.0030,4.3799,2.2771,2.2606,4.3274,6.1294,6.2157,3.0551,37.7377,2.0965,4.3920,2.6464,6.8504,3.2916,5.8443,0.7092,4.7939,3.3151,10.9420,2.6281,3.7922,1.1357,1.9627,10.3999,3.5006,2.2759,6.2312,5.4470,2.4655,5.3391,121.8750,8.0394,3.4976,9.7845,4.1334,4.3237,8.8408,6.0484,8.3774,7.0758,10.7957,15.0906,1.3042,6.0270,259.6406,5.0045,4.2586,1.8697,7.0213,9.1931,1.8548,11.7862,7.2146,5.3410,13.8003,2.2469,8.2749,5.8672,10.6970,5.4384,6.5459,2.3096,5.7829,10.1311,7.9790,6.4313,4.4685,6.7617,4.3447,18.7405,10.0420,5.6218,6.9147,7.9599,1.9074,0.8400,16.8448,5.1642,10.9420,3.9044,1.6481,3.7922,8.9669,4.2315,12.8125,1.9938,11.5744,98.4188,3.4006,10.6514,6.8504,8.8467,1.6749,3.2916,0.7167,0.7092,3.9000,0.5617,13.6069,3.4300,6.2429,9.2931,23.5000,1.1657,3.7089,6.2152,3.7750,8.0764,1.2181,13.2019,8.7298,7.3056,10.5835,7.4506,6.3822,3.7108,2.8750,4.5163,11.2668,6.2880,4.8923,8.5665,0.4167,6.4447,4.5313,10.3221,0.1927
1995-01-05,12.6090,2.4621,7.8264,5.5579,7.0159,3.7821,3.7933,2.7920,9.3794,12.2545,5.5222,3.1983,3.3951,3.7156,3.4063,13.8753,9.3821,4.4654,2.3266,2.2606,4.2991,6.1793,6.2789,3.0885,37.8791,2.1179,4.3920,2.6363,6.8124,3.2916,5.8676,0.6815,4.5656,3.3151,10.8488,2.6487,3.8287,1.1241,1.9872,10.3999,3.5006,2.2759,6.1389,5.3992,2.4655,5.2766,126.5625,8.0559,3.5270,9.7093,4.0787,4.2679,8.7978,6.0044,8.2189,7.1059,10.9756,15.0103,1.2994,5.9838,259.3064,5.0139,4.2586,1.8697,6.9965,9.1578,1.8478,11.7196,7.2146,5.2497,13.7641,2.2421,8.2824,5.9253,10.6141,5.4384,6.5837,2.3431,5.7829,10.2794,8.0753,6.4478,4.5044,6.7232,4.3554,18.9926,10.1532,5.7567,6.7927,7.9388,1.8688,0.8729,16.9532,5.2413,10.8488,3.8847,1.6111,3.8287,8.9669,4.1706,12.7500,1.9938,11.1834,99.3932,3.3777,10.6241,6.8124,8.8849,1.6749,3.2916,0.6980,0.6815,3.9628,0.5743,13.5475,3.4127,6.4356,9.2501,23.3750,1.1498,3.1641,6.1204,3.9686,8.0068,1.2181,13.6278,8.6063,7.2695,10.3599,7.5798,6.2332,3.6928,2.8750,4.4818,11.6931,6.4423,4.8923,8.7422,0.3750,6.4861,4.7188,10.4358,0.2083
1995-01-06,12.8007,2.5034,7.6707,5.5074,6.8884,3.8323,3.8826,2.8460,9.3794,12.2545,5.6065,3.2108,3.3951,3.7285,3.3835,13.8468,9.3821,4.4440,2.2276,2.1779,4.3557,6.1627,6.2999,3.1052,39.0098,2.1536,4.4776,2.6363,6.7934,3.2671,5.8676,0.6649,4.5656,3.2356,10.7866,2.6848,3.9381,1.1125,1.9995,10.4781,3.5915,2.2759,6.1389,5.4470,2.4836,5.2142,125.0000,8.0559,3.4683,9.6716,3.9966,4.3516,8.8623,6.0044,7.9017,7.1360,10.6158,14.6893,1.3332,5.9406,259.3064,5.0327,4.1596,1.9231,7.0190,9.1224,1.8407,11.6198,7.2894,5.2497,13.7641,2.2373,8.2598,5.9543,10.6556,5.4169,6.7725,2.3877,6.0011,10.3782,7.9629,6.5635,4.5044,6.7040,4.3341,18.8246,10.1903,5.8917,6.9147,7.9177,1.8909,0.8911,16.9532,5.2799,10.7866,3.9536,1.6296,3.9381,9.0542,4.0792,13.9375,2.0440,11.1052,100.4760,3.5232,10.6241,6.7934,8.7705,1.6633,3.2671,0.6758,0.6649,3.9349,0.5491,13.4881,3.3781,6.3585,9.2931,23.5000,1.1338,3.1409,6.1204,3.9686,7.9720,1.2754,13.7343,8.6240,7.2695,10.3599,7.5798,6.2332,3.6568,2.8125,4.4129,11.5713,6.2947,4.9352,8.8301,0.4167,6.4310,4.7813,10.1230,0.2083
1995-01-09,12.8646,2.4879,7.7096,5.6084,6.9734,3.7821,3.9272,2.9181,9.5772,12.5309,5.5643,3.2982,3.3951,3.8055,3.3377,13.9038,9.2873,4.4440,2.2276,2.2055,4.2709,6.1627,6.3421,3.0551,38.8684,2.1607,4.4084,2.6060,6.8883,3.3160,5.8209,0.6427,4.5656,3.2526,10.6934,2.7262,3.9818,1.0777,2.0485,10.4390,3.5006,2.3617,6.0005,5.4948,2.4655,5.1830,125.0000,7.9898,3.4585,9.3706,3.9209,4.3516,9.0129,6.1583,7.8225,7.1059,10.7254,14.6893,1.3573,5.8758,259.6406,5.0139,4.1596,1.9498,7.0078,9.1931,1.8126,11.7529,7.4015,5.2497,13.7641,2.2469,8.2448,5.9834,10.6556,5.4169,6.8481,2.3821,6.0557,10.0323,8.1074,6.7123,4.4086,6.7389,4.2915,18.8246,10.1162,5.9591,6.8740,7.9388,1.9460,0.9021,16.9532,5.2799,10.6934,3.9980,1.6667,3.9818,9.3306,3.9879,14.4375,2.0189,11.2225,101.9918,3.5845,10.6241,6.8883,8.8849,1.6749,3.3160,0.6963,0.6427,3.8233,0.5301,13.7257,3.3434,6.2429,9.3361,23.5000,1.1657,3.0946,6.3101,4.0049,7.9372,1.3184,13.7343,8.5887,7.1613,10.3972,7.5367,6.2061,3.6027,2.6875,4.4046,11.5713,6.2142,4.8494,8.7203,0.4063,6.4034,4.6875,10.2083,0.2161
1995-01-10,13.0562,2.5189,7.5539,5.5579,6.9734,3.8156,3.9049,2.9001,9.8147,12.5309,5.5643,3.2483,3.4531,3.7349,3.3377,13.8753,9.2873,4.4013,2.2771,2.1779,4.2426,6.2623,6.2789,3.0551,39.4338,2.1251,4.4372,2.5858,6.9642,3.4307,5.8676,0.6427,4.5656,3.4172,11.1286,2.7520,4.0037,1.0777,2.1099,10.6345,3.4551,2.3617,6.1851,5.5426,2.4836,5.2142,125.0000,8.0229,3.4683,9.3706,3.7838,4.3795,8.7547,6.0704,7.5846,7.1661,10.6645,14.6893,1.3766,6.0054,262.3138,4.9951,4.1926,1.9498,7.0303,9.1578,1.8056,11.7529,7.4015,5.2040,13.7641,2.2278,8.5311,5.9253,10.6556,5.4098,6.8858,2.3709,6.1921,10.2794,8.0753,6.7454,4.6641,6.7776,4.3234,18.8666,10.3014,5.8242,6.9351,7.9388,1.9515,0.9185,17.2062,5.2991,11.1286,4.0570,1.6296,4.0037,9.0391,4.0488,14.5625,2.0189,12.0241,106.9722,3.6457,11.1430,6.9642,8.8849,1.6778,3.4307,0.6997,0.6427,3.8652,0.5333,13.4881,3.2914,6.2815,9.2501,23.5000,1.1657,2.8164,6.2152,3.9807,7.9720,1.2754,13.7343,8.6945,7.0891,10.2854,7.4075,6.2196,3.6928,3.1250,4.3352,10.4751,6.1068,4.8065,8.8301,0.4167,6.4585,4.5938,10.1514,0.2253
1995-01-11,12.9497,2.5343,7.3202,5.7095,6.9309,3.7821,3.8826,2.9181,9.7751,12.5309,5.5222,3.2732,3.4821,3.6964,3.3606,13.7613,9.0978,4.4013,2.2028,2.2055,4.0729,6.1793,6.2789,3.0551,39.1511,2.1536,4.4084,2.6161,6.9642,3.6145,5.8676,0.6427,4.4743,3.4059,11.2218,2.7365,3.8725,1.0604,2.1037,10.5563,3.5006,2.3617,6.0928,5.4470,2.4474,5.2142,121.8750,7.9733,3.4193,9.1824,3.8661,4.3795,8.7978,5.9824,7.6639,7.2264,10.5426,14.6893,1.3766,5.9622,266.3237,4.9293,4.1596,1.9164,6.9965,9.0871,1.8126,11.8528,7.4763,5.2269,13.7280,2.1322,8.5010,5.8962,10.5726,5.3883,6.9991,2.3431,6.2193,10.4277,8.1074,6.7785,4.6002,6.7389,4.3873,19.1607,10.3755,5.9142,6.8944,7.8543,1.8936,0.9057,17.4231,5.2991,11.2218,4.0718,1.6111,3.8725,8.9807,4.2010,14.3125,2.0691,12.2001,105.2399,3.7070,11.0610,6.9642,8.8849,1.6720,3.6145,0.6911,0.6427,3.8791,0.5301,13.4881,3.3001,6.3200,8.9489,25.0000,1.1657,2.8396,6.1678,3.9202,7.9720,1.3328,13.5213,8.6769,7.1071,10.1363,7.5798,6.1519,3.6748,2.7500,4.3352,10.2315,6.1605,4.7850,8.7861,0.4167,6.4723,4.5313,10.0661,0.2266
1995-01-12,12.9497,2.5292,7.4371,5.7095,6.9309,3.7487,3.8826,2.9451,9.8147,12.7152,5.5222,3.3732,3.4821,3.7670,3.4749,13.6758,9.0030,4.3799,2.2276,2.2055,4.1860,6.1627,6.2578,3.0718,38.8684,2.1679,4.3508,2.6060,6.9452,3.5900,5.8910,0.6316,4.4743,3.4570,11.5016,2.7726,3.8943,1.0430,2.1344,10.5954,3.5233,2.3617,6.0928,5.3992,2.4655,5.2142,126.5625,7.9733,3.4095,9.0695,3.7838,4.3516,8.7332,5.9604,7.9282,7.1661,10.4817,14.5287,1.3766,5.8974,266.6579,4.9387,4.1596,1.8964,7.0416,9.2639,1.8337,11.9194,7.3268,5.1812,13.8364,2.0748,8.4256,5.9253,10.6556,5.4384,7.0369,2.3654,6.2057,10.4771,8.1717,6.7785,4.6641,6.7582,4.3767,19.1187,10.4126,5.9816,6.8740,7.8966,1.8798,0.9282,17.6039,5.2558,11.5016,4.0570,1.6296,3.8943,8.7475,4.2010,15.8750,2.0565,12.2392,107.6219,3.7683,11.3615,6.9452,8.8086,1.6720,3.5900,0.6860,0.6316,3.8931,0.5301,13.3692,3.3607,6.3585,9.1210,24.8750,1.1657,2.8396,6.2152,3.9807,7.9372,1.3471,13.4149,8.7651,7.1793,10.0991,7.4075,6.1112,3.6928,3.1875,4.3699,10.7796,6.0665,4.6992,8.5665,0.4063,6.4447,4.5313,10.2368,0.2057
1995-01-13,13.0136,2.5911,7.4760,5.8105,6.8884,3.7487,3.9049,2.9541,10.0521,12.8073,5.5643,3.4232,3.4821,3.7221,3.5664,13.9038,9.0978,4.3799,2.2771,2.1779,4.2709,6.3620,6.4685,3.1386,39.5751,2.1607,4.4372,2.6565,7.0781,3.5655,6.0313,0.6261,4.4743,3.4116,11.2529,2.8139,3.8725,0.9734,2.1099,10.5563,3.4551,2.3617,6.0466,5.4948,2.5199,5.2454,121.8750,8.0394,3.4585,9.2200,3.8386,4.3237,8.7117,5.9604,8.0339,7.2264,10.6036,14.4485,1.4443,5.9838,273.3410,4.9575,4.1596,1.9765,7.0529,9.2285,1.8407,11.9194,7.3268,5.4779,14.0531,2.1895,8.3352,6.0415,10.8629,5.4384,7.0746,2.4212,6.1511,10.4277,8.2359,6.8777,4.6002,6.7970,4.4299,19.3288,10.5238,5.9366,6.8740,7.8966,1.8578,0.9190,17.5316,5.3569,11.2529,4.0915,1.6296,3.8725,8.4267,4.2315,15.7500,2.0565,13.2168,107.6219,3.7530,11.4707,7.0781,8.9230,1.6807,3.5655,0.6758,0.6261,3.8652,0.5301,13.6069,3.3781,6.5127,9.1640,25.5000,1.2136,2.8164,6.3101,4.0170,7.9720,1.3758,13.3084,8.8679,7.1793,10.2109,7.5798,6.2738,3.7288,2.6875,4.3872,10.7187,6.2209,4.6992,8.6104,0.4375,6.4585,4.5625,10.2083,0.2135
1995-01-16,13.2053,2.6479,7.4760,5.8105,6.9309,3.6985,3.9272,2.9181,9.9730,12.8073,5.5222,3.4232,3.4821,3.8119,3.5892,14.0462,9.1926,4.3799,2.2276,2.2055,4.2426,6.4450,6.5528,3.2221,40.8472,2.1893,4.4084,2.6666,7.1350,3.6390,6.0313,0.6316,4.5428,3.3662,11.2840,2.8139,4.0475,1.0256,2.1835,10.7518,3.3188,2.3617,6.0928,5.5426,2.5199,5.3391,121.8750,8.0229,3.4585,9.2577,3.7838,4.3237,8.7547,6.0044,7.9017,7.2866,10.9692,14.4485,1.5167,6.2647,281.3608,5.0045,4.2256,2.0032,7.1206,9.4053,1.8899,12.1858,7.3268,5.6719,14.3783,2.2947,8.4558,6.1576,10.9872,5.5243,7.5026,2.4100,6.2330,10.1806,8.3322,6.8281,4.4884,6.7776,4.4832,19.7910,10.6720,6.0941,6.9757,7.8754,1.8468,0.9043,17.6039,5.3377,11.2840,4.1457,1.6296,4.0475,8.5725,4.1401,15.9375,2.0565,13.7642,108.4880,3.8142,11.4707,7.1350,8.9993,1.7011,3.6390,0.6826,0.6316,3.8931,0.5270,13.7852,3.3867,6.8595,9.1640,26.2500,1.2456,2.8164,6.3576,4.0654,8.0416,1.3686,13.4149,8.9389,7.3056,10.3226,7.4506,6.2738,3.8009,2.6250,4.4393,11.3277,6.2947,4.7206,8.7642,0.4375,6.4723,4.5938,10.2368,0.2109
