date,ppdce_price,ldce_price,ppdec_volume,ldce_volume
2015/6/15 9:00,9580,8576,558,702
2015/6/15 9:05,9605,8527,48046,39470
2015/6/15 9:10,9620,8549,32330,33714
2015/6/15 9:15,9595,8533,28702,16820
2015/6/15 9:20,9590,8537,20632,9862
2015/6/15 9:25,9590,8544,20012,11838
2015/6/15 9:30,9590,8543,6292,4468
2015/6/15 9:35,9580,8534,6616,5964
2015/6/15 9:40,9580,8532,4800,3466
2015/6/15 9:45,9585,8542,5484,4820
2015/6/15 9:50,9600,8545,8170,4170
2015/6/15 9:55,9615,8549,22046,10042
2015/6/15 10:00,9610,8545,7624,3916
2015/6/15 10:05,9605,8549,13774,4728
2015/6/15 10:10,9590,8543,3410,1496
2015/6/15 10:15,9595,8541,1624,1350
2015/6/15 10:35,9590,8540,4362,3170
2015/6/15 10:40,9605,8547,8008,2990
2015/6/15 10:45,9600,8548,5622,2192
2015/6/15 10:50,9600,8548,3874,4110
2015/6/15 10:55,9595,8550,2462,1438
2015/6/15 11:00,9590,8543,4474,2068
2015/6/15 11:05,9600,8548,26594,5448
2015/6/15 11:10,9595,8550,7296,3732
2015/6/15 11:15,9610,8567,7614,15804
2015/6/15 11:20,9605,8563,11094,5990
2015/6/15 11:25,9610,8563,4812,2698
2015/6/15 11:30,9625,8563,9356,4414
2015/6/15 13:35,9620,8562,11252,4356
2015/6/15 13:40,9610,8563,8526,6138
2015/6/15 13:45,9635,8585,17956,10772
2015/6/15 13:50,9630,8578,15514,8948
2015/6/15 13:55,9625,8579,9200,4078
2015/6/15 14:00,9640,8578,6730,3822
2015/6/15 14:05,9625,8576,10100,4792
2015/6/15 14:10,9625,8577,7516,3716
2015/6/15 14:15,9635,8580,7620,3810
2015/6/15 14:20,9625,8576,3166,1648
2015/6/15 14:25,9625,8574,7872,6800
2015/6/15 14:30,9605,8569,12960,7150
2015/6/15 14:35,9625,8569,12238,5444
2015/6/15 14:40,9645,8587,29188,13350
2015/6/15 14:45,9650,8600,30386,19968
2015/6/15 14:50,9650,8592,14802,8462
2015/6/15 14:55,9670,8606,14086,7926
2015/6/15 15:00,9725,8634,60860,29316
2015/6/16 9:00,9745,8649,964,210
2015/6/16 9:05,9770,8671,74600,35670
2015/6/16 9:10,9830,8734,75028,49580
2015/6/16 9:15,9820,8735,39392,32282
2015/6/16 9:20,9840,8791,50572,47860
2015/6/16 9:25,9830,8765,25144,29732
2015/6/16 9:30,9815,8744,18498,26798
2015/6/16 9:35,9815,8746,13160,10256
2015/6/16 9:40,9815,8738,7884,12220
2015/6/16 9:45,9815,8730,11186,15524
2015/6/16 9:50,9820,8738,11754,8588
2015/6/16 9:55,9820,8738,12824,7448
2015/6/16 10:00,9825,8742,6872,13664
2015/6/16 10:05,9840,8742,25760,15314
2015/6/16 10:10,9800,8713,24558,14578
2015/6/16 10:15,9765,8652,45282,43188
2015/6/16 10:35,9740,8654,40724,23290
2015/6/16 10:40,9765,8665,22224,16416
2015/6/16 10:45,9765,8668,9706,7474
2015/6/16 10:50,9770,8677,6122,5894
2015/6/16 10:55,9780,8681,14746,7940
2015/6/16 11:00,9765,8682,13186,14134
2015/6/16 11:05,9765,8683,9668,8594
2015/6/16 11:10,9765,8682,2418,2444
2015/6/16 11:15,9775,8688,7956,4340
2015/6/16 11:20,9760,8674,11810,7538
2015/6/16 11:25,9770,8672,5672,10130
2015/6/16 11:30,9770,8668,4088,5226
2015/6/16 13:35,9770,8659,8094,7732
2015/6/16 13:40,9735,8613,15112,18046
2015/6/16 13:45,9745,8628,22670,22496
2015/6/16 13:50,9735,8611,12348,11482
2015/6/16 13:55,9745,8625,12774,8350
2015/6/16 14:00,9720,8596,19988,17562
2015/6/16 14:05,9730,8605,19290,16066
2015/6/16 14:10,9680,8577,37838,21422
2015/6/16 14:15,9665,8578,30052,16512
2015/6/16 14:20,9680,8592,18852,10222
2015/6/16 14:25,9670,8578,13594,9216
2015/6/16 14:30,9655,8578,16172,6918
2015/6/16 14:35,9670,8586,24772,18210
2015/6/16 14:40,9645,8579,22794,7254
2015/6/16 14:45,9650,8579,14080,6610
2015/6/16 14:50,9670,8593,15780,7912
