date,INE_volume,pp_volume,INE_price,pp_price
2018-03-26 09:00,3088,7568,442700,42905
2018-03-26 09:05,4022,24108,439900,42615
2018-03-26 09:10,3138,10278,436500,42710
2018-03-26 09:15,1790,11210,436900,42740
2018-03-26 09:20,2032,5334,434000,42745
2018-03-26 09:25,4614,6072,432000,42695
2018-03-26 09:30,978,11182,431000,42530
2018-03-26 09:35,900,6894,433200,42580
2018-03-26 09:40,654,7638,432000,42655
2018-03-26 09:45,1138,4566,431800,42655
2018-03-26 09:50,682,2266,432400,42665
2018-03-26 09:55,796,8884,434000,42755
2018-03-26 10:00,604,6010,434300,42765
2018-03-26 10:05,684,5036,433600,42710
2018-03-26 10:10,246,3124,434100,42680
2018-03-26 10:15,336,2378,435900,42705
2018-03-26 10:30,548,764,432800,42680
2018-03-26 10:35,582,3474,432900,42645
2018-03-26 10:40,588,3106,432300,42670
2018-03-26 10:45,874,2334,431400,42655
2018-03-26 10:50,640,3746,432300,42590
2018-03-26 10:55,336,3362,432100,42605
2018-03-26 11:00,238,3086,432400,42635
2018-03-26 11:05,262,2866,432800,42645
2018-03-26 11:10,224,3758,432900,42670
2018-03-26 11:15,182,1934,432900,42635
2018-03-26 11:20,172,4644,432400,42615
2018-03-26 11:25,214,3642,432700,42640
2018-03-26 11:30,180,1926,432300,42620
2018-03-26 13:30,60,1394,432500,42595
2018-03-26 13:35,192,2474,432000,42650
2018-03-26 13:40,580,10838,430500,42565
2018-03-26 13:45,1512,4850,429600,42605
2018-03-26 13:50,1112,9408,428800,42695
2018-03-26 13:55,876,3576,427400,42670
2018-03-26 14:00,834,3904,428000,42685
2018-03-26 14:05,502,2780,428100,42665
2018-03-26 14:10,462,3584,428300,42685
2018-03-26 14:15,234,4812,427900,42705
2018-03-26 14:20,316,3002,428500,42675
2018-03-26 14:25,518,2316,428600,42625
2018-03-26 14:30,302,3998,428300,42625
2018-03-26 14:35,318,6350,428600,42590
2018-03-26 14:40,550,3660,430000,42615
2018-03-26 14:45,520,5896,430200,42585
2018-03-26 14:50,256,2470,429800,42575
2018-03-26 14:55,280,3726,430100,42590
2018-03-26 14:59,490,3726,429900,42590
2018-03-27 09:00,456,6752,425300,42605
2018-03-27 09:05,840,11636,426200,42665
2018-03-27 09:10,500,12926,427300,42795
